wall_time_epoch_s,monotonic_time_s,linear_speed_mps,angular_speed_rps,linear_cmd_mps,angular_cmd_rps,left_wheel_target_rad_s,right_wheel_target_rad_s,pose_x_m,pose_y_m,theta_rad
1763169653.313306,957.866193,0.000000,0.000000,0.300000,0.000000,3.937008,3.937008,0.000000,0.000000,0.000000
1763169653.334279,957.887173,0.034246,-0.007713,0.300000,0.000000,3.937008,3.937008,0.000718,-0.000000,-0.000162
1763169653.354339,957.907239,0.271992,-0.302152,0.300000,0.003594,3.929934,3.944082,0.006176,-0.000017,-0.006225
1763169653.374452,957.927353,0.375029,-0.513064,0.299994,0.135340,3.670513,4.203349,0.013719,-0.000103,-0.016544
1763169653.394480,957.947381,0.247030,0.537373,0.299958,0.244775,3.454622,4.418302,0.018666,-0.000159,-0.005782
1763169653.415553,957.968453,0.065023,1.027408,0.299995,-0.201029,4.332665,3.541212,0.020036,-0.000152,0.015868
1763169653.436565,957.989466,0.196970,-0.229245,0.299963,-0.467709,4.857208,3.015835,0.024175,-0.000096,0.011051
1763169653.457526,958.010427,0.258055,-1.320474,0.299982,0.071115,3.796783,4.076761,0.029584,-0.000111,-0.016628
1763169653.480116,958.033017,0.202777,-0.805890,0.299958,0.590753,2.773557,5.099355,0.034163,-0.000229,-0.034833
1763169653.501192,958.054093,0.115680,1.018291,0.299816,0.443710,3.061142,4.808033,0.036601,-0.000288,-0.013371
1763169653.522238,958.075138,0.174549,1.473984,0.299972,-0.397916,4.719939,3.153341,0.040274,-0.000280,0.017649
1763169653.543199,958.096100,0.352859,-0.225459,0.299955,-0.658722,5.233113,2.639717,0.047669,-0.000167,0.012923
1763169653.564207,958.117107,0.342146,-1.500917,0.299976,0.064151,3.810406,4.062970,0.054857,-0.000187,-0.018608
1763169653.584362,958.137263,0.179766,-0.891565,0.299947,0.672464,2.612564,5.260060,0.058479,-0.000287,-0.036578
1763169653.604463,958.157363,0.075344,0.855096,0.299796,0.442690,3.062893,4.805768,0.056965,-0.000245,-0.019389
1763169653.624508,958.177409,0.188074,1.256678,0.299942,-0.301423,4.529600,3.342895,0.060735,-0.000270,0.005801
1763169653.645562,958.198463,0.422356,0.475541,0.299995,-0.515357,4.951430,2.922466,0.069627,-0.000174,0.015813
1763169653.666626,958.219527,0.313746,-0.884933,0.299963,-0.236611,4.402298,3.470757,0.076235,-0.000131,-0.002827
1763169653.687548,958.240449,0.124212,-0.823660,0.299999,0.378448,3.192014,4.681967,0.078834,-0.000161,-0.020059
1763169653.710122,958.263023,0.011556,0.334519,0.299939,0.389850,3.168781,4.703623,0.079095,-0.000165,-0.012508
1763169653.730309,958.283209,0.222028,1.316521,0.299976,-0.122995,4.178807,3.694575,0.083577,-0.000162,0.014068
1763169653.751209,958.304110,0.427789,0.247843,0.299971,-0.562117,5.043157,2.830099,0.092516,-0.000013,0.019248
1763169653.772191,958.325092,0.321169,-1.058847,0.299945,-0.149142,4.229867,3.642693,0.099255,0.000042,-0.002969
1763169653.793193,958.346094,0.124222,-0.892541,0.299999,0.449578,3.051996,4.821986,0.101864,0.000010,-0.021714
1763169653.814211,958.367111,0.066114,0.677838,0.299929,0.423388,3.102639,4.769522,0.103253,-0.000011,-0.007468
1763169653.834377,958.387277,0.269057,1.386315,0.299992,-0.267997,4.464450,3.409345,0.108679,0.000025,0.020488
1763169653.854493,958.407394,0.457700,-0.080295,0.299937,-0.605025,5.127173,2.745185,0.117884,0.000206,0.018873
1763169653.874515,958.427416,0.346077,-1.176524,0.299945,-0.013825,3.963504,3.909075,0.124813,0.000255,-0.004683
1763169653.895547,958.448447,0.181460,-0.552324,0.299997,0.479638,2.992801,4.881139,0.128630,0.000215,-0.016299
1763169653.916534,958.469435,0.074771,0.951647,0.299961,0.268557,3.407845,4.465157,0.130199,0.000205,0.003673
1763169653.937584,958.490485,0.264216,1.226880,0.299998,-0.407811,4.739754,3.134201,0.135760,0.000297,0.029499
1763169653.960213,958.513114,0.352891,-0.417193,0.299866,-0.584323,5.085497,2.785013,0.143743,0.000495,0.020058
1763169653.981216,958.534118,0.312782,-1.318675,0.299936,0.138744,3.663052,4.209287,0.150312,0.000536,-0.007638
1763169654.002187,958.555088,0.114134,-0.491807,0.299993,0.568306,2.818199,5.055624,0.152706,0.000505,-0.017952
1763169654.023193,958.576094,0.074490,1.138179,0.299955,0.245154,3.453828,4.419002,0.154270,0.000496,0.005957
1763169654.044253,958.597154,0.304374,0.762597,0.299994,-0.492361,4.906139,2.967709,0.160680,0.000586,0.022017
1763169654.064355,958.617256,0.465208,-0.104133,0.299923,-0.373394,4.671019,3.200965,0.170029,0.000782,0.019924
1763169654.084460,958.637361,0.323499,-1.024357,0.299935,-0.008918,3.953707,3.918595,0.176533,0.000844,-0.000671
1763169654.104487,958.657388,0.140824,-0.508192,0.300000,0.409451,3.131003,4.743013,0.179353,0.000828,-0.010849
1763169654.125550,958.678451,0.002974,0.392198,0.299985,0.225538,3.492845,4.380789,0.179416,0.000828,-0.002588
1763169654.146600,958.699501,0.311597,0.855162,0.300000,-0.161724,4.255357,3.618649,0.185975,0.000870,0.015414
1763169654.167555,958.720456,0.449276,0.184862,0.299959,-0.397481,4.718916,3.154030,0.195388,0.001033,0.019287
1763169654.190137,958.743038,0.249710,-0.824357,0.299937,-0.127042,4.186257,3.686093,0.201027,0.001089,0.000672
1763169654.211215,958.764109,0.037814,-0.944893,0.299999,0.366242,3.216051,4.657949,0.201823,0.001082,-0.019238
1763169654.232192,958.785093,0.024755,0.384929,0.299952,0.437698,3.074768,4.797989,0.202343,0.001074,-0.011161
1763169654.253228,958.806129,0.306467,0.763536,0.299986,-0.139771,4.211959,3.661678,0.208789,0.001054,0.004901
1763169654.453577,959.006475,0.012005,-0.192590,0.299994,-0.334649,4.595690,3.278173,0.206385,0.001089,-0.033684
1763169654.473640,959.026539,0.199060,-2.225098,0.299843,0.800000,2.360150,5.509756,0.202397,0.001312,-0.078327
1763169655.330787,959.883685,0.015643,0.091381,0.299118,0.800000,2.350635,5.500242,0.215797,0.000852,0.000000
